น่าสน	น่า สน
น่าสนใจ	น่า สน ไจ
น่าสมเพช	น่า สม เพด
น่าอยู่	น่า หฺยู่
น่าฮัก	น่า ฮัก
น่าเกลียด	น่า เกฺลียด
น่าเชื่อ	น่า เชื่อ
น่าเบื่อ	น่า เบื่อ
น่าเสียดาย	น่า เสีย ดาย
น่าเสียใจ	น่า เสีย ไจ
น่าไว้ใจ	น่า ไว้ ไจ
น้องชาย	น้อง ชาย
น้องสาว	น้อง สาว
น้อยหน่า	น้อย หฺน่า
น้อยหน่า	น็้อย หฺน่า
น้อยใจ	น้อย ไจ
น้ำ	น้าม
น้ำ	น้าม 
น้ำ	นั้ม 
น้ำกระด้าง	น้าม กฺระ ด้าง
น้ำกลั่น	น้าม กฺลั่น
น้ำกลั่น	น้ำ กฺลั่น
น้ำกัดเท้า	น้าม กัด ท้าว
น้ำกาม	น้าม กาม
น้ำค้าง	น้ำ ค้าง
น้ำค้างแข็ง	น้ำ ค้าง แข็ง
น้ำจัณฑ์	น้าม จัน
น้ำจิ้ม	น้ำ จิ้ม
น้ำจิ้ม	น้าม จิ้ม
น้ำจืด	น้ำ จืด
น้ำจืด	น้าม จืด
น้ำชา	น้าม ชา
น้ำดี	น้าม ดี
น้ำดื่ม	น้าม ดื่ม
น้ำตก	น้าม ตก
น้ำตก	น้ำ ตก
น้ำตา	น้ำ ตา
น้ำตา	น้าม ตา
น้ำตาล	น้ำ ตาน
น้ำทิ้ง	น้าม ทิ้ง
น้ำท่วม	น้าม ท่วม
น้ำท่า	น้าม ท่า
น้ำนิ่งไหลลึก	น้าม นิ่ง ไหฺล ลึก
น้ำบาดาล	น้าม บา ดาน
น้ำประปา	น้าม ปฺระ ปา
น้ำประสานทอง	น้ำ ปฺระ สาน ทอง
น้ำปลา	น้ำ ปฺลา
น้ำปลาพริก	น้ำ ปฺลา พฺริก
น้ำปูนใส	น้าม ปูน ไส
น้ำป่า	น้าม ป่า
น้ำผลไม้	น้าม ผน ละ ม้าย
น้ำผึ้ง	น้ำ พึ่ง
น้ำพริก	น้ำ พฺริก
น้ำพริกเผา	น้าม พฺริก เผา
น้ำพุ	น้าม พุ
น้ำมนตร์	น้าม มน
น้ำมนต์	น้าม มน
น้ำมะนาว	น้ำ มะ นาว
น้ำมะพร้าว	น้าม มะ พฺร้าว
น้ำมัน	น้ำ มัน
น้ำมันก๊าด	น้ำ มัน ก๊าด
น้ำมันงา	น้ำ มัน งา
น้ำมันดิน	น้ำ มัน ดิน
น้ำมันประกอบอาหาร	น้ำ มัน ปฺระ กอบ อา หาน
น้ำมันปลา	น้ำ มัน ปฺลา
น้ำมันพริก	น้ำ มัน พฺริก
น้ำมันพืช	น้ำ มัน พืด
น้ำมันมะกอก	น้ำ มัน มะ กอก
น้ำมันหอมระเหย	น้ำ มัน หอม ระ เหย
น้ำมันหอย	น้ำ มัน ห็อย
น้ำมันแร่	น้าม มัน แร่
น้ำมูก	น้าม มูก
น้ำยา	นั้ม ยา
น้ำยา	น้าม ยา
น้ำยาบ้วนปาก	น้ำ ยา บ้วน ปาก
น้ำยาปรับผ้านุ่ม	น้าม ยา ปฺรับ ผ้า นุ่ม
น้ำยาลบคำผิด	น้าม ยา ลบ คำ ผิด
น้ำยาล้างจาน	น้ำ ยา ล้าง จาน
น้ำย่อย	น้ำ ย็่อย
น้ำลาย	น้าม ลาย
น้ำสังข์	น้าม สัง
น้ำส้ม	น้ำ ซ่ม
น้ำส้มพริกดอง	น้ำ ส้ม พฺริก ดอง
น้ำส้มสายชู	น้ำ ซ่ม สาย ชู
น้ำหนัก	น้ำ หฺนัก
น้ำหนักลด	น้ำ หฺนัก ลด
น้ำหล่อสมองไขสันหลัง	น้าม หฺล่อ สะ หฺมอง ไข สัน หฺลัง
น้ำหอม	น้าม หอม
น้ำอบ	น้าม อบ
น้ำอัดลม	น้าม อัด ลม
น้ำอำพัน	น้าม อำ พัน
น้ำอ่อน	น้าม อ่อน
น้ำเกลือ	น้ำ เกฺลือ
น้ำเกลือ	น้าม เกฺลือ
น้ำเคย	น้ำ เคย
น้ำเค็ม	น้ำ เค็ม
น้ำเงิน	น้ำ เงิ็น
น้ำเชื่อม	น้ำ เชื่อม
น้ำเชื้อ	น้าม เชื้อ
น้ำเต้า	น้ำ เต้า
น้ำเต้าหู้	น้าม เต้า ฮู่
น้ำเน่า	น้าม เน่า
น้ำเลี้ยง	น้ำ เลี้ยง
น้ำเสีย	น้าม เสีย
น้ำเสียง	น้าม เสียง
น้ำเหลือง	น้ำ เหฺลือง
น้ำแข็ง	น้ำ แข็ง
น้ำแข็งแห้ง	น้ำ แข็ง แฮ่ง
น้ำแข็งไส	น้ำ แข็ง ไส
น้ำแตก	น้าม แตก
น้ำแล้ง	น้าม แล้ง
น้ำใจ	น้าม ไจ
น้ำใจ	น้ำ ไจ
น้ำใจนักกีฬา	น้ำ ไจ นัก กี ลา
น้ำใสใจคอ	น้าม ไส ไจ คอ
น้ำไหลไฟดับ	น้าม ไหฺล ไฟ ดับ
บ	บอ
บ.	บอ
บ.ช.	บอ ชอ
บก	บอ กอ
บกพร่อง	บก พฺร็่อง
บงกช	บง กด
บงการ	บง กาน
บดินทร	บอ ดิน ทฺระ 
บดินทร์	บอ ดิน
บดี	บอ ดี
บถ	บด
บท	บด
บทกวี	บด กะ วี
บทความ	บด คฺวาม
บทนำ	บด นำ
บทบรรยายใต้ภาพ	บด บัน ยาย ไต้ พาบ
บทบัญญัติ	บด บัน หฺยัด
บทบาท	บด บาด
บทละคร	บด ละ คอน
บทเรียน	บด เรียน
บพิตร	บอ พิด
บรม	บอ รม
บรม	บอ รม มะ 
บรมนาถบพิตร	บอ รม มะ นาด บอ พิด
บรมนาถบพิตร	บอ รม มะ นาด ถะ บอ พิด
บรมราชา	บอ รม รา ชา
บรมราชา	บอ รม มะ รา ชา
บรมราชาธิราช	บอ รม รา ชา ทิ ราด
บรมราชาธิราช	บอ รม มะ รา ชา ทิ ราด
บรมราชาธีราช	บอ รม รา ชา ทิ ราด
บรมราชาธีราช	บอ รม มะ รา ชา ทิ ราด
บรรจบ	บัน จบ
บรรจุ	บัน จุ
บรรณาการ	บัน นา กาน
บรรณานุกรม	บัน นา นุ กฺรม
บรรณารักษ์	บัน นา รัก
บรรดา	บัน ดา
บรรดาศักดิ์	บัน ดา สัก
บรรทม	บัน ทม
บรรทัด	บัน ทัด
บรรทุก	บัน ทุก
บรรพชิต	บัน พะ ชิด
บรรพชีวินวิทยา	บัน พะ ชี วิน วิด ทะ ยา
บรรพบุรุษ	บัน พะ บุ หฺรุด
บรรยากาศ	บัน ยา กาด
บรรยาย	บัน ยาย
บรรยาย	บัน ระ ยาย
บรรลัย	บัน ลัย
บรรลุ	บัน ลุ
บรรเทา	บัน เทา
บรรเลง	บัน เลง
บรอกโคลี	บฺร็๊อก โค ลี่
บรัยส์	ไบฺร
บรัสเซลส์	บฺรั๊ส เซล
บรั่นดี	บฺรั่น ดี
บราซิล	บฺรา ซิล
บราซิล	บฺรา ซิว
บราซีเลีย	บฺรา ซี เลีย
บริการ	บอ ริ กาน
บริจาค	บอ ริ จาก
บริดจ์	บฺริด
บริบท	บอ ริ บด
บริบาล	บอ ริ บาน
บริบูรณ์	บอ ริ บูน
บริวาร	บอ ริ วาน
บริษัท	บอ ริ สัด
บริษัท	บอ ริ̄ สัด
บริสุทธิ์	บอ ริ สุด
บริหาร	บอ ริ หาน
บริเตน	บฺริ เตน
บริเตนใหญ่	บฺริ เตน ไหฺย่
บริเวณ	บอ ริ เวน
บริโภค	บอ ริ โพก
บรู	บฺรู
บรูไน	บฺรู ไน
บรเทศ	บอ ระ เทด
บลัชออน	บฺลัช ออน
บลัดดีแมรี	บฺลั๊ด ดี้ แม รี่
บลัดดีแมรี	บฺลัด ดี้ แม รี่
บล็อก	บฺล็๊อก
บล็อกเกอร์	บฺล็๊อก เก้อ
บวช	บวด
บวร	บอ วอน
บวร	บอ วอน 
บวร	บอ วอ ระ 
บวว	บัว
บอกปัด	บอก ปัด
บอกล้าง	บอก ล้าง
บอกหนังสือสังฆราช	บอก หฺนัง สือ สัง คะ ราด
บอดี้	บอ ดี้
บอตสวานา	บ๊อด สะ วา น่า
บอตสวานา	บ๊อด สฺวา น่า
บอนไซ	บ็อน ไซ
บอมบ์	บ็อม
บอมเบย์	บ็อม เบ
บอร์ด	บอด
บอล	บ็อน
บอล	บ็อล
บอลเชวิค	บอน เช วิก
บอสเนียและเฮอร์เซโกวีนา	บ๊อส เนีย และ เฮอ เซ โก วี น่า
บะหมี่	บะ หฺมี่
บะหมี่กึ่งสำเร็จรูป	บะ หฺมี่ กึ่ง สำ เหฺร็ด รูบ
บักกุ๊ดเต๋	บัก กุ๊ด เต๋
บักเตรี	บัก เต รี
บัคเตรี	บัก เต รี
บังกลาเทศ	บัง กฺลา เทด
บังกะโล	บัง กะ โล
บังคน	บัง คน
บังคม	บัง คม
บังควร	บัง ควน
บังคับ	บัง คับ
บังคับบัญชา	บัง คับ บัน ชา
บังคับใช้	บัง คับ ไช้
บังตา	บัง ตา
บังอาจ	บัง อาด
บังเหียน	บัง เหียน
บังเอิญ	บัง เอิน
บัญชรสิงห์	บัน ชอน สิง
บัญชา	บัน ชา
บัญชาการ	บัน ชา กาน
บัญชี	บัน ชี
บัญชีดำ	บัน ชี ดำ
บัญชีหนังหมา	บัน ชี หฺนัง หฺมา
บัญญัติ	บัน หฺยัด
บัณฑิต	บัน ดิด
บัณฑิตย	บัน ดิด ตะ ยะ
บัณฑิตย	บัน ดิด
บัณฑิตย์	บัน ดิด
บัณฑูร	บัน ทูน
บัดกรี	บัด กฺรี
บัดซบ	บัด ซบ
บัดนี้	บัด นี้
บัดสี	บัด สี
บัตร	บัด
บัตรประจำตัว	บัด ปฺระ จำ ตัว
บัตรประชาชน	บัด ปฺระ ชา ชน
บัตรสนเท่ห์	บัด สน เท่
บัตรเครดิต	บัด เคฺร ดิด
บัตเตอร์สกอตช์	บัด เต้อ สะ ก็๊อต
บันจีจัมพ์	บัน จี้ จั๊ม
บันจูล	บัน จูล
บันดาร์เซอรีเบอกาวัน	บัน ดา เซอ รี เบอ กา วัน
บันดาร์เสรีเบกาวัน	บัน ดา เส รี เบ กา วัน
บันดาล	บัน ดาน
บันทึก	บัน ทึก
บันเทิง	บัน เทิง
บันได	บัน ได
บันไดเลื่อน	บัน ได เลื่อน
บัย	ไบ
บัยม์	บัย
บัยส์	ไบ
บัลลังก์	บัน ลัง
บัลลาด	บัน หฺลาด
บัลลาด	บัล หฺลาด
บัลลาสต์	บัน หฺลาด
บัลลาสต์	บัล หฺลาด
บัลเลต์	บัน เล่
บัลเลต์	บัล เล่
บัลแกเรีย	บัน แก เรีย
บัลแกเรีย	บัล แก เรีย
บัวผุด	บัว ผุด
บัวลอย	บัว ลอย
บัวสาย	บัว สาย
บัวหลวง	บัว หฺลวง
บัวหิมะ	บัว หิ มะ
บัวแก้ว	บัว แก้ว
บัวโนสไอเรส	บัว โน้ส ไอ เร้ส
บัวใต้น้ำ	บัว ต้าย น้าม
บัส	บั๊ด
บัส	บั๊ส
บั่นทอน	บั่น ทอน
บากู	บา กู
บางกอก	บาง กอก
บางคน	บาง คน
บางครั้ง	บาง คฺรั้ง
บางที	บาง ที
บางสิ่ง	บาง สิ่ง
บาดทะยัก	บาด ทะ ยัก
บาดาล	บา ดาน
บาดเจ็บ	บาด เจ็บ
บาดแผล	บาด แผฺล
บาตร	บาด
บาท	บาด
บาท	บาด ทะ 
บาทหลวง	บาด หฺลวง
บาทา	บา ทา
บาน	บาน
บาน	บาน นะ 
บานพับ	บาน พับ
บานเย็น	บาน เย็น
บาป	บาบ
บาป	บาบ ปะ 
บาปกำเนิด	บาบ กำ เหฺนิด
บาปซ้ำกรรมซัด	บาบ ซ้ำ กำ ซัด
บายศรี	บาย สี
บารมี	บา ระ มี
บารอมิเตอร์	บา รอ มิ เต้อ
บาร์	บา
บาร์เบโดส	บา เบ โด๊ส
บาร์เบโดส	บา เบ โด๊ด
บาร์เลย์	บา เล่
บาล	บาน
บาลี	บา ลี
บาศก์	บาด
บาสเกตบอล	บ๊าส เก็๊ด บ็อล
บาสเกตบอล	บ๊าด สะ เก็๊ด บ็อน
บาหลี	บา หฺลี
บาห์เรน	บา เรน
บาฮามาส	บา ฮา ม๊าส
บำนาญ	บำ นาน
บำบัด	บำ บัด
บำราบ	บำ หฺราบ
บำรุง	บำ รุง
บำเพ็ญ	บำ เพ็น
บำเรอ	บำ เรอ
บำเหน็จ	บำ เหฺน็ด
บิกินี	บิ กิ นี่
บิกแบง	บิ๊ก แบง
บิงซู	บิง ซู
บิชอป	บิ ช็้อบ
บิชเคก	บิช เค้ก
บิณฑบาต	บิน ทะ บาด
บิณฑบาตร	บิน ทะ บาด
บิดา	บิ ดา
บิดเบือน	บิด เบือน
บิบิมบับ	บิ บิม บับ
บิล	บิน
บิสกิต	บิ๊ส กิด
บิสมัท	บิ๊ส มัด
บิสมาร์ก	บิ๊ส ม้าก
บีตา	บี ต้า
บีบคั้น	บีบ คั้น
บีเทลจุส	บี เท็ล จู๊ส
บีเวอร์	บี เว่อ
บึงกาฬ	บึง กาน
บุกรุก	บุก รุก
บุคคล	บุก คน
บุคคล	บุก คะ ละ 
บุคคล	บุก คน ละ 
บุคคลธรรมดา	บุก คน ทำ มะ ดา
บุคคลนิติสมมติ	บุก คน นิ ติ สม มด
บุคคลภายนอก	บุก คน พาย นอก
บุคคลล้มละลาย	บุก คน ล้ม ละ ลาย
บุคคลล้มละลายทุจริต	บุก คน ล้ม ละ ลาย ทุด จะ หฺริด
บุคลากร	บุก คะ ลา กอน
บุคลิก	บุก คะ ลิก
บุคลิก	บุก คะ ลิก 
บุคลิก	บุก คะ ลิก กะ 
บุคลิกภาพ	บุก คะ ลิก กะ พาบ
บุคลิกลักษณะ	บุก คะ ลิก กะ ลัก สะ หฺนะ
บุคลิกลักษณะ	บุก คะ ลิก ลัก สะ หฺนะ
บุญ	บุน
บุญ	บุน 
บุญ	บุน ยะ 
บุญญาธิการ	บุน ยา ทิ กาน
บุญธรรม	บุน ทำ
บุญหนักศักดิ์ใหญ่	บุน หฺนัก สัก ไหฺย่
บุณฑริก	บุน ดะ ริก
บุณฑริก	บุน ทะ ริก
บุตร	บุด
บุตรชาย	บุด ชาย
บุพการี	บุบ พะ กา รี
บุพทิศ	บุบ พะ ทิด
บุพบท	บุบ พะ บด
บุพเพสันนิวาส	บุบ เพ สัน นิ วาด
บุพโพ	บุบ โพ
บุฟเฟต์	บุ๊บ เฟ่
บุรพทิศ	บุ ระ พะ ทิด
บุรพทิศ	บุบ พะ ทิด
บุรพบท	บุ ระ พะ บด
บุรพบท	บุบ พะ บด
บุรี	บุ รี
บุรีรัมย์	บุ รี รำ
บุรุนดี	บุ รุน ดี
บุรุษ	บุ หฺรุด
บุรุษ	บุ หฺรุด สะ 
บุรุษสรรพนาม	บุ หฺรุด สับ พะ นาม
บุรุษสรรพนาม	บุ หฺรุด สะ สับ พะ นาม
บุรุษไปรษณีย์	บุ หฺรุด ไปฺร สะ นี
บุษบก	บุด สะ บก
บุษบา	บุด สะ บา
บุษย์น้ำทอง	บุด น้าม ทอง
บุษราคัม	บุด สะ รา คัม
บุหรี่	บุ หฺรี่
บุหรี่	บุ̄ หฺรี่
บุหรี่พม่า	บุ หฺรี่ พะ ม่า
บุหรี่พระราม	บุ หฺรี่ พฺระ ราม
บุหลัน	บุ หฺลัน
บูคาเรสต์	บู คา เร๊ส
บูชา	บู ชา
บูดาเปสต์	บู ดา เป๊ส
บูรพทิศ	บู ระ พะ ทิด
บูรพา	บู ระ พา
บูร์กินาฟาโซ	บู กิ นา ฟา โซ
บูร์กินาฟาโซ	บู กิ น่า ฟา โซ
บูร์กินาฟาโซ	บู กิ น่า ฟา โซ่
บู๊ลิ้ม	บู๊ ลิ้ม
บ่	บ่อ
บ่	เบาะ
บ่งบอก	บ่ง บอก
บ่องตง	บ็่อง ตง
บ่อน	บ็่อน
บ่อน้ำ	บ่อ น้าม
บ่อน้ำร้อน	บ่อ น้าม ร้อน
บ่อย	บ็่อย
บ้อง	บ็้อง
บ้องแบ๊ว	บ็้อง แบ็๊ว
บ้าง	บั้ง
บ้านช่อง	บ้าน ช็่อง
บ้านช่องห้องหอ	บ้าน ช็่อง ฮ็่อง หอ
บ้านนอก	บ้าน นอก
บ้านป่าเมืองเถื่อน	บ้าน ป่า เมือง เถื่อน
บ้านผีสิง	บ้าน ผี สิง
บ้านพัก	บ้าน พัก
บ้านเกิด	บ้าน เกิด
บ้านเกิดเมืองนอน	บ้าน เกิด เมือง นอน
บ้านเมือง	บ้าน เมือง
บ้าบิ่น	บ้า บิ่น
บ้ายอ	บ้า ยอ
บ้าหมู	บ้า หฺมู
บ๊ะจ่าง	บ๊ะ จ่าง
บ๋อย	บ็๋อย
ป	ปอ
ป.ป.ช.	ปอ ปอ ชอ
ปกครอง	ปก คฺรอง
ปกติ	ปะ กะ ติ
ปกติ	ปก กะ ติ
ปกติ	ปก ก̄ะ ติ
ปกป้อง	ปก ป็้อง
ปชช.	ปอ ชอ ชอ
ปชต.	ปอ ชอ ตอ
ปฏัก	ปะ ตัก
ปฏิ	ปะ ติ
ปฏิกิริยา	ปะ ติ กิ ริ ยา
ปฏิกิริยานิวเคลียร์	ปะ ติ กิ ริ ยา นิว เคฺลีย
ปฏิกิริยาเคมี	ปะ ติ กิ ริ ยา เค มี
ปฏิกูล	ปะ ติ กูน
ปฏิชีวนะ	ปะ ติ ชี วะ นะ
ปฏิญาณ	ปะ ติ ยาน
ปฏิทิน	ปะ ติ ทิน
ปฏิทินดาวเคราะห์	ปะ ติ ทิน ดาว เคฺราะ
ปฏิบัติ	ปะ ติ บัด
ปฏิบัติการ	ปะ ติ บัด กาน
ปฏิพจน์	ปะ ติ พด
ปฏิรูป	ปะ ติ รูบ
ปฏิรูป	ปะ ติ รู ปะ 
ปฏิวัติ	ปะ ติ วัด
ปฏิวัติ	ปะ ติ̄ วัด
ปฏิวัติ	ป̄ะ ติ̄ วัด
ปฏิสสาร	ปะ ติ สะ สาน
ปฏิสังขรณ์	ปะ ติ สัง ขอน
ปฏิเสธ	ปะ ติ เสด
ปฐม	ปะ ถม
ปฐม	ปะ ถม มะ 
ปฐม	ปะ ถม 
ปฐมกรรม	ปะ ถม มะ กำ
ปฐมทัศน์	ปะ ถม มะ ทัด
ปฐมยาม	ปะ ถม มะ ยาม
ปณิธาน	ปะ นิ ทาน
ปท.	ปอ ทอ
ปทท.	ปอ ทอ ทอ
ปทานุกรม	ปะ ทา นุ กฺรม
ปทุม	ปะ ทุม
ปทุมธานี	ปะ ทุม ทา นี
ปธน.	ปอ ทอ นอ
ปรกติ	ปฺรก กะ ติ
ปรง	ปฺรง
ปรตยาค	ปฺรด ตะ ยาก
ปรนนิบัติ	ปฺรน นิ บัด
ปรบมือ	ปฺรบ มือ
ปรมราชาธิราช	ปอ รม รา ชา ทิ ราด
ปรมราชาธิราช	ปอ รม มะ รา ชา ทิ ราด
ปรมราชาธิราช	ปอ ระ มะ รา ชา ทิ ราด
ปรมราชาธิราช	ปะ รม รา ชา ทิ ราด
ปรมราชาธิราช	ปะ ระ มะ รา ชา ทิ ราด
ปรมาณู	ปะ ระ มา นู
ปรมาภิไธย	ปะ ระ มา พิ ไท
ปรมาภิไธย	ปอ ระ มา พิ ไท
ปรมินทร	ปอ ระ มิน
ปรมินทร	ปะ ระ มิน
ปรมินทร	ปอ ระ มิน ทฺระ 
ปรมินทร	ปะ ระ มิน ทฺระ
ปรมินทร์	ปอ ระ มิน
ปรมินทร์	ปะ ระ มิน
ปรมินทร์	ปอ ระ มิน ทฺระ 
ปรมินทร์	ปะ ระ มิน ทฺระ 
ปรสิต	ปะ ระ สิด
ปรสิต	ปะ ระ สิด ตะ 
ปรองดอง	ปฺรอง ดอง
ปรอท	ปะ หฺรอด
ประกอบ	ปฺระ กอบ
ประกัน	ปฺระ กัน
ประกันชีวิต	ปฺระ กัน ชี วิด
ประกันภัย	ปฺระ กัน ไพ
ประกาย	ปฺระ กาย
ประกายไฟ	ปฺระ กาย ไฟ
ประกายไฟฟ้า	ปฺระ กาย ไฟ ฟ้า
ประการ	ปฺระ กาน
ประกาศ	ปฺระ กาด
ประกาศนียบัตร	ปฺระ กา สะ นี ยะ บัด
ประกาศนียบัตร	ปฺระ กาด สะ นี ยะ บัด
ประกาศิต	ปฺระ กา สิด
ประคอง	ปฺระ คอง
ประคองข้าง	ปฺระ คอง ค่าง
ประคำ	ปฺระ คำ
ประจบ	ปฺระ จบ
ประจวบคีรีขันธ์	ปฺระ จวบ คี รี ขัน
ประจักษ์พยาน	ปฺระ จัก พะ ยาน
ประจำ	ปฺระ จำ
ประจำเดือน	ปฺระ จำ เดือน
ประจิม	ปฺระ จิม
ประจุ	ปฺระ จุ
ประจุบัน	ปฺระ จุ บัน
ประจุไฟฟ้า	ปฺระ จุ ไฟ ฟ้า
ประชด	ปฺระ ชด
ประชวร	ปฺระ ชวน
ประชัน	ปฺระ ชัน
ประชา	ปฺระ ชา
ประชากร	ปฺระ ชา กอน
ประชากรศาสตร์	ปฺระ ชา กอ ระ สาด
ประชากรศาสตร์	ปฺระ ชา กอน สาด
ประชาคม	ปฺระ ชา คม
ประชาชน	ปฺระ ชา ชน
ประชาชาติ	ปฺระ ชา ชาด
ประชาทัณฑ์	ปฺระ ชา ทัน
ประชาธิปัตย์	ปฺระ ชา ทิ ปัด
ประชาธิปไตย	ปฺระ ชา ทิ ปะ ไต
ประชาธิปไตย	ปฺระ ชา ทิบ ปะ ไต
ประชานิยม	ปฺระ ชา นิ ยม
ประชาบดี	ปฺระ ชา บอ ดี
ประชาพิจารณ์	ปฺระ ชา พิ จาน
ประชามติ	ปฺระ ชา มะ ติ
ประชาสัมพันธ์	ปฺระ ชา สำ พัน
ประชุม	ปฺระ ชุม
ประชุมเพลิง	ปฺระ ชุม เพฺลิง
ประณต	ปฺระ นด
ประณาม	ปฺระ นาม
ประณาม	ปฺระ นาม 
ประณาม	ปฺระ นาม มะ 
ประดักประเดิด	ปฺระ ดัก ปฺระ เดิด
ประดับ	ปฺระ ดับ
ประดาน้ำ	ปฺระ ดา น้าม
ประดิษฐาน	ปฺระ ดิด สะ ถาน
ประดิษฐ์	ปฺระ ดิด
ประดุจ	ปฺระ ดุด
ประดู่	ปฺระ ดู่
ประตัก	ปฺระ ตัก
ประติบัติ	ปฺระ ติ บัด
ประติมากร	ปฺระ ติ มา กอน
ประตู	ปฺระ ตู
ประตูน้ำ	ปฺระ ตู น้าม
ประถม	ปฺระ ถม
ประถม	ปฺระ ถม มะ 
ประถม	ปฺระ ถม 
ประทม	ปฺระ ทม
ประทัด	ปฺระ ทัด
ประทับ	ปฺระ ทับ
ประทับใจ	ปฺระ ทับ ไจ
ประทาน	ปฺระ ทาน
ประทาน	ปฺระ ทาน นะ 
ประทีป	ปฺระ ทีบ
ประทุษวาจา	ปฺระ ทุด สะ วา จา
ประท้วง	ปฺระ ท้วง
ประธาน	ปฺระ ทาน
ประธานาธิบดี	ปฺระ ทา นา ทิบ บอ ดี
ประธานาธิบดี	ปฺระ ทา นา ทิ บอ ดี
ประนีประนอม	ปฺระ นี ปฺระ นอม
ประปา	ปฺระ ปา
ประพฤติ	ปฺระ พฺรึด
ประพฤติ	ปฺระ พฺรึด ติ 
ประพฤติเหตุ	ปฺระ พฺรึด ติ เหด
ประพันธสรรพนาม	ปฺระ พัน ทะ สับ พะ นาม
ประพันธ์	ปฺระ พัน
ประพาส	ปฺระ พาด
ประภาคาร	ปฺระ พา คาน
ประมง	ปฺระ มง
ประมง	ปฺร̄ะ มง
ประมวล	ปฺระ มวน
ประมวล	ปฺร̄ะ มวน
ประมวลกฎหมาย	ปฺระ มวน กด หฺมาย
ประมาณ	ปฺระ มาน
ประมาท	ปฺระ หฺมาด
ประมุข	ปฺระ มุก
ประมุขแห่งรัฐ	ปฺระ มุก แห็่ง รัด
ประมูล	ปฺระ มูน
ประยุทธ์	ปฺระ ยุด
ประวัติ	ปฺระ หฺวัด
ประวัติ	ปฺระ หฺวัด ติ 
ประวัติ	ปฺระ หฺวัด 
ประวัติการ	ปฺระ หฺวัด ติ กาน
ประวัติการ	ปฺระ หฺวัด กาน
ประวัติการณ์	ปฺระ หฺวัด ติ กาน
ประวัติการณ์	ปฺระ หฺวัด กาน
ประวัติศาสตร์	ปฺระ หฺวัด ติ สาด
ประวัติศาสตร์	ปฺระ หฺวัด สาด
ประสก	ปฺระ สก
ประสงค์	ปฺระ สง
ประสบ	ปฺระ สบ
ประสบการณ์	ปฺระ สบ กาน
ประสาท	ปฺระ สาด
ประสาน	ปฺระ สาน
ประสานรอย	ปฺระ สาน รอย
ประสิทธิผล	ปฺระ สิด ทิ ผน
ประสิทธิภาพ	ปฺระ สิด ทิ พาบ
ประสิทธิ์	ปฺระ สิด
ประสูติ	ปฺระ สูด
ประสูติ	ปฺระ สู ติ 
ประหม่า	ปฺระ หฺม่า
ประหยัด	ปฺระ หฺยัด
ประหลาด	ปฺระ หฺลาด
ประหลาดใจ	ปฺระ หฺลาด ไจ
ประหวั่น	ปฺระ หฺวั่น
ประหาร	ปฺระ หาน
ประหารชีวิต	ปฺระ หาน ชี วิด
ประเคน	ปฺระ เคน
ประเจิดประเจ้อ	ปฺระ เจิด ปฺระ เจ้อ
ประเชิญ	ปฺระ เชิน
ประเด็น	ปฺระ เด็น
ประเทศ	ปฺระ เทด
ประเทศ	ปฺระ เทด สะ 
ประเทศจำลอง	ปฺระ เทด จำ ลอง
ประเทศชาติ	ปฺระ เทด ชาด
ประเทศราช	ปฺระ เทด สะ ราด
ประเทียบ	ปฺระ เทียบ
ประเพณี	ปฺระ เพ นี
ประเภท	ปฺระ เพด
ประเมิน	ปฺระ เมิน
ประเวณี	ปฺระ เว นี
ประเวศน์พระนคร	ปฺระ เวด พฺระ นะ คอน
ประเวศพระนคร	ปฺระ เวด พฺระ นะ คอน
ประเสริฐ	ปฺระ เสิด
ประแจ	ปฺระ แจ
ประโคม	ปฺระ โคม
ประโยค	ปฺระ โหฺยก
ประโยคความซ้อน	ปฺระ โหฺยก คฺวาม ซ้อน
ประโยคความรวม	ปฺระ โหฺยก คฺวาม รวม
ประโยคความเดียว	ปฺระ โหฺยก คฺวาม เดียว
ประโยคย่อย	ปฺระ โหฺยก ย็่อย
ประโยคหลัก	ปฺระ โหฺยก หฺลัก
ประโยชน์	ปฺระ โหฺยด
ปรัชญา	ปฺรัด ยา
ปรัชญา	ปฺรัด ชะ ยา
ปรับ	ปฺรับ
ปรับตัว	ปฺรับ ตัว
ปรับปรุง	ปฺรับ ปฺรุง
ปรัศนี	ปฺรัด สะ นี
ปรัสเซีย	ปฺรัด เซีย
ปราก	ปฺร๊าก
ปรากฏ	ปฺรา กด
ปรากฏการณ์	ปฺรา กด ตะ กาน
ปรากฏการณ์	ปฺรา กด กาน
ปรากฤต	ปฺรา กฺริด
ปราการ	ปฺรา กาน
ปรางค์	ปฺราง
ปราจีนบุรี	ปฺรา จีน บุ รี
ปราชญ์	ปฺราด
ปราชัย	ปะ รา ไช
ปราณ	ปฺราน
ปราณี	ปฺรา นี
ปรานี	ปฺรา นี
ปรานีฆาต	ปฺรา นี คาด
ปราบ	ปฺราบ
ปราม	ปฺราม
ปราย	ปฺราย
ปรารถนา	ปฺราด ถะ หฺนา
ปราศจาก	ปฺราด สะ จาก
ปราศรัย	ปฺรา ไส
ปราสาท	ปฺรา สาด
ปริ	ปฺริ
ปริซึม	ปฺริ๊ ซึ่ม
ปริญญา	ปะ ริน ยา
ปริญญาบัตร	ปะ ริน ยา บัด
ปริตยาค	ปะ ริด ตะ ยาก
